Source Name	Sample Name	Factor Value Space Mission	Spaceflight	Tissue	0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000
RR1_M32	M32_sol	RR-1	Ground_Control	soleus_muscle	1	0.99760133	1.000306	1.00101546	1.00120355	1.00518688	1.0049066	1.00229294	1.00341477	1.00043809	0.9981699	0.99809999	0.99276792	0.99297066	0.98810014	0.98641485	0.98408797	0.9824298	0.97987005	0.9795829	0.97703727	0.98310011	0.97946246	0.97867031	0.97919689	0.97950225	0.98193163	0.98170343	0.97707813	0.98132972	0.97882237	0.98060539	0.97891022	0.9784761	0.97878892	0.97872068	0.97641646	0.97801627	0.97591104	0.97776917	0.97499191	0.97628528	0.97573014	0.97493751	0.97432573	0.97434441	0.97174267	0.97093705	0.96767466	0.97067035	0.97044393
RR1_M39	M39_sol	RR-1	Ground_Control	soleus_muscle	1	0.99690336	0.99715222	0.99719123	0.99451106	0.99760172	0.99582382	0.99423445	0.99320588	0.99335194	0.99095136	0.99439574	0.99094843	0.99316319	0.9932958	0.99163208	0.99030115	0.9889461	0.98982643	0.98997272	0.98752979	0.98945105	0.98793338	0.99028449	0.99045491	0.99054133	0.99211048	0.99367451	0.99192558	0.99367612	0.9914574	0.99205084	0.99120585	0.98934716	0.98663768	0.98602293	0.98526304	0.98602253	0.9845953	0.98182113	0.98228804	0.97879781	0.978443	0.97491605	0.97428538	0.97342901	0.97373424	0.9743398	0.97759663	0.97637643	0.97824729
RR1_M40	M40_sol	RR-1	Ground_Control	soleus_muscle	1	0.99867625	0.99806559	1.00003982	0.99753364	0.99816236	0.99924674	0.99673912	0.99706309	0.99739635	0.99667178	0.99797556	0.99623095	0.99662169	0.99653755	0.99734799	0.99619644	0.99436284	0.99326784	0.9947657	0.99379684	0.99421211	0.99404781	0.99432216	0.99530988	0.99506081	0.99516469	0.99203486	0.9895056	0.98797312	0.98826638	0.98672017	0.98559158	0.98323994	0.98441002	0.98612844	0.98601833	0.98506356	0.98457576	0.98443657	0.98261999	0.98148102	0.9815157	0.97967379	0.9766217	0.97549784	0.97413398	0.97481511	0.97255632	0.97018281	0.96864629
RR9_F11	F11_sol	RR-9	Space_Flight	soleus_muscle	1	1.00087264	0.99971548	0.99840043	0.99875664	0.99900999	0.99823462	0.99897294	0.99808396	0.99908956	1.00081001	0.99992665	0.9993779	0.99987182	1.00020668	0.99941538	1.00060724	1.000665	0.9998209	0.99854521	0.99779878	0.99735161	0.99820047	0.99751672	0.99581157	0.99616323	0.99559559	0.99463214	0.9945302	0.99552656	0.99481929	0.9951784	0.99555341	0.99659015	0.99726787	0.99744625	0.99806652	0.99923237	1.00036334	1.00042472	1.00154474	1.00137345	1.00118094	1.00007795	1.00028365	1.00021158	1.0005204	1.00035494	1.00023737	1.00037786	0.99948006
RR9_F12	F12_sol	RR-9	Space_Flight	soleus_muscle	1	0.9991025	0.99958196	0.99974631	1.00084151	1.00298006	1.00298281	1.00269258	1.00331365	1.00426056	1.00488989	1.00444596	1.00609633	1.00691261	1.00730557	1.01019178	1.0104693	1.01252043	1.01201305	1.00976722	1.0084814	1.00802058	1.0063683	1.00366426	1.00180461	1.00097337	0.99985347	0.99985923	1.00022419	0.99778634	0.99618581	0.99279472	0.99154351	0.99004656	0.98934544	0.98847682	0.98944215	0.99084336	0.99218946	0.99450619	0.99404952	0.9939031	0.99216518	0.99203989	0.99105799	0.9914719	0.99141304	0.99169484	0.99228116	0.992622	0.99302
RR9_F13	F13_sol	RR-9	Space_Flight	soleus_muscle	1	1.00118698	1.00026884	0.9986215	0.99729627	0.99731043	0.99778111	0.99766521	0.99859481	1.00036938	0.99782606	0.99726302	0.99643515	0.99753732	0.99709327	0.99646892	0.99596267	0.99695957	0.99669009	0.99844442	0.99799659	0.99870151	0.99827223	0.99795464	0.99920648	0.99801024	0.99781804	0.99747836	0.99543027	0.99368761	0.99432682	0.99352447	0.99276259	0.99232835	0.99277885	0.99289347	0.99205751	0.99223643	0.99247671	0.99268212	0.99269004	0.99272387	0.99258184	0.99317779	0.99239347	0.99280702	0.99314835	0.99311552	0.99343632	0.99286787	0.99416799
RR9_F15	F15_sol	RR-9	Space_Flight	soleus_muscle	1	0.99888535	0.99977343	0.9990367	0.99898037	0.99822022	0.99781729	0.9971856	0.99838682	0.99766309	0.99769868	0.9996748	0.99905279	0.99983825	1.00017661	1.00131559	1.00072384	1.00046945	0.99925304	0.99852884	0.9994775	1.00129266	1.00067916	1.00087145	1.00191108	1.00099826	1.00265725	1.00317318	1.00311695	1.00305145	1.00222887	1.0008857	1.00144399	1.00215407	1.00108182	0.99986547	0.99977967	0.99969192	1.00000503	1.00117028	0.998795	0.9984437	0.99775882	0.9978197	0.99848761	0.99975379	1.00023081	0.99971272	0.9994699	0.9998067	0.99990463
RR9_F16	F16_sol	RR-9	Space_Flight	soleus_muscle	1	1.00175761	1.00222273	1.00111578	0.99743875	0.99809405	0.99592341	0.99557656	0.99390202	0.9909364	0.98870062	0.98674721	0.98564335	0.98383977	0.98330941	0.98051475	0.97793822	0.97617552	0.9775604	0.974981	0.97414434	0.97196209	0.97219207	0.97283979	0.97262138	0.97299088	0.97188818	0.97207569	0.97193725	0.97234524	0.97211071	0.97211449	0.97098798	0.97071063	0.97164748	0.97243718	0.9724617	0.97330386	0.97490148	0.97609444	0.97629271	0.97625465	0.97571053	0.97416405	0.97421919	0.97441068	0.97524617	0.97706246	0.97662575	0.9771204	0.97670934
RR9_F17	F17_sol	RR-9	Space_Flight	soleus_muscle	1	0.99838737	0.99704133	0.99662783	0.99680728	0.99508726	0.99596091	0.99680101	0.99887463	0.99987322	1.00086658	1.00100443	1.00200584	1.0013526	1.00312651	1.00264036	1.00244205	1.00210489	1.00133584	1.00243547	1.00130136	0.99940115	0.99789142	0.99739136	0.99649747	0.99567944	0.99411932	0.99458018	0.99297454	0.9936957	0.99339107	0.99437147	0.99631662	0.99645787	0.99839914	0.99936522	1.00004691	1.00013788	0.99991939	1.00118558	1.00172743	1.00124574	1.00177274	1.00143398	1.00232117	1.00241334	0.99970076	1.00031183	0.99945129	0.99916491	0.99890368
RR9_F18	F18_sol	RR-9	Space_Flight	soleus_muscle	1	1.00217105	1.00517974	1.00440605	1.00457692	1.00536738	1.00394697	1.00338281	1.00251118	1.00047004	0.99671091	0.99507751	0.99370383	0.99199932	0.99265468	0.98941478	0.9867083	0.98867205	0.98959322	0.98873416	0.99048499	0.99236026	0.99494046	0.99672856	1.00215828	1.00426183	1.00683365	1.01015641	1.01056661	1.01513852	1.01678908	1.01686289	1.01713866	1.01782756	1.0185405	1.01831932	1.01830423	1.01908588	1.01814701	1.01809294	1.01837201	1.01803349	1.01867967	1.01716982	1.01835478	1.0186899	1.01939468	1.02133017	1.02132132	1.02182218	1.02142422
